30  0  65532  0  0  0  
30  0  64904  27  1  37216  
30  0  63016  28  1  36736  
30  0  59892  29  1  10552  
30  0  55560  29  1  34776  
30  0  50060  29  1  58032  
30  0  43448  30  1  7280  
30  0  35784  30  1  17612  
30  0  27144  30  1  27140  
30  0  17616  30  1  35780  
30  0  7284  30  1  43444  
29  0  58040  30  1  50056  
29  0  34784  30  1  55556  
29  0  10560  30  1  59888  
28  0  36752  30  1  63012  
27  0  37248  30  1  64900  
0  0  0  30  1  65532  
27  1  37216  30  1  64904  
28  1  36736  30  1  63016  
29  1  10552  30  1  59892  
29  1  34776  30  1  55560  
29  1  58032  30  1  50060  
30  1  7280  30  1  43448  
30  1  17612  30  1  35784  
30  1  27140  30  1  27144  
30  1  35780  30  1  17616  
30  1  43444  30  1  7284  
30  1  50056  29  1  58040  
30  1  55556  29  1  34784  
30  1  59888  29  1  10560  
30  1  63012  28  1  36752  
30  1  64900  27  1  37248  
